nama_prov;value_prov;variable_kab;nama_kab;value_kab;kab
ACEH;11;KODE_KAB;SIMEULUE;1101;1
ACEH;11;KODE_KAB;ACEH SINGKIL;1102;2
ACEH;11;KODE_KAB;ACEH SELATAN;1103;3
ACEH;11;KODE_KAB;ACEH TENGGARA;1104;4
ACEH;11;KODE_KAB;ACEH TIMUR;1105;5
ACEH;11;KODE_KAB;ACEH TENGAH;1106;6
ACEH;11;KODE_KAB;ACEH BARAT;1107;7
ACEH;11;KODE_KAB;ACEH BESAR;1108;8
ACEH;11;KODE_KAB;PIDIE;1109;9
ACEH;11;KODE_KAB;BIREUEN;1110;10
ACEH;11;KODE_KAB;ACEH UTARA;1111;11
ACEH;11;KODE_KAB;ACEH BARAT DAYA;1112;12
ACEH;11;KODE_KAB;GAYO LUES;1113;13
ACEH;11;KODE_KAB;ACEH TAMIANG;1114;14
ACEH;11;KODE_KAB;NAGAN RAYA;1115;15
ACEH;11;KODE_KAB;ACEH JAYA;1116;16
ACEH;11;KODE_KAB;BENER MERIAH;1117;17
ACEH;11;KODE_KAB;PIDIE JAYA;1118;18
ACEH;11;KODE_KAB;BANDA ACEH;1171;71
ACEH;11;KODE_KAB;SABANG;1172;72
ACEH;11;KODE_KAB;LANGSA;1173;73
ACEH;11;KODE_KAB;LHOKSEUMAWE;1174;74
ACEH;11;KODE_KAB;SUBULUSSALAM;1175;75
SUMATERA UTARA;12;KODE_KAB;NIAS;1201;1
SUMATERA UTARA;12;KODE_KAB;MANDAILING NATAL;1202;2
SUMATERA UTARA;12;KODE_KAB;TAPANULI SELATAN;1203;3
SUMATERA UTARA;12;KODE_KAB;TAPANULI TENGAH;1204;4
SUMATERA UTARA;12;KODE_KAB;TAPANULI UTARA;1205;5
SUMATERA UTARA;12;KODE_KAB;TOBA SAMOSIR;1206;6
SUMATERA UTARA;12;KODE_KAB;LABUHAN BATU;1207;7
SUMATERA UTARA;12;KODE_KAB;ASAHAN;1208;8
SUMATERA UTARA;12;KODE_KAB;SIMALUNGUN;1209;9
SUMATERA UTARA;12;KODE_KAB;DAIRI;1210;10
SUMATERA UTARA;12;KODE_KAB;KARO;1211;11
SUMATERA UTARA;12;KODE_KAB;DELI SERDANG;1212;12
SUMATERA UTARA;12;KODE_KAB;LANGKAT;1213;13
SUMATERA UTARA;12;KODE_KAB;NIAS SELATAN;1214;14
SUMATERA UTARA;12;KODE_KAB;HUMBANG HASUNDUTAN;1215;15
SUMATERA UTARA;12;KODE_KAB;PAKPAK BHARAT;1216;16
SUMATERA UTARA;12;KODE_KAB;SAMOSIR;1217;17
SUMATERA UTARA;12;KODE_KAB;SERDANG BEDAGAI;1218;18
SUMATERA UTARA;12;KODE_KAB;BATU BARA;1219;19
SUMATERA UTARA;12;KODE_KAB;PADANG LAWAS UTARA;1220;20
SUMATERA UTARA;12;KODE_KAB;PADANG LAWAS;1221;21
SUMATERA UTARA;12;KODE_KAB;LABUHAN BATU SELATAN;1222;22
SUMATERA UTARA;12;KODE_KAB;LABUHAN BATU UTARA;1223;23
SUMATERA UTARA;12;KODE_KAB;NIAS UTARA;1224;24
SUMATERA UTARA;12;KODE_KAB;NIAS BARAT;1225;25
SUMATERA UTARA;12;KODE_KAB;SIBOLGA;1271;71
SUMATERA UTARA;12;KODE_KAB;TANJUNG BALAI;1272;72
SUMATERA UTARA;12;KODE_KAB;PEMATANG SIANTAR;1273;73
SUMATERA UTARA;12;KODE_KAB;TEBING TINGGI;1274;74
SUMATERA UTARA;12;KODE_KAB;MEDAN;1275;75
SUMATERA UTARA;12;KODE_KAB;BINJAI;1276;76
SUMATERA UTARA;12;KODE_KAB;PADANGSIDIMPUAN;1277;77
SUMATERA UTARA;12;KODE_KAB;GUNUNGSITOLI;1278;78
SUMATERA BARAT;13;KODE_KAB;KEPULAUAN MENTAWAI;1301;1
SUMATERA BARAT;13;KODE_KAB;PESISIR SELATAN;1302;2
SUMATERA BARAT;13;KODE_KAB;SOLOK;1303;3
SUMATERA BARAT;13;KODE_KAB;SIJUNJUNG;1304;4
SUMATERA BARAT;13;KODE_KAB;TANAH DATAR;1305;5
SUMATERA BARAT;13;KODE_KAB;PADANG PARIAMAN;1306;6
SUMATERA BARAT;13;KODE_KAB;AGAM;1307;7
SUMATERA BARAT;13;KODE_KAB;LIMA PULUH KOTA;1308;8
SUMATERA BARAT;13;KODE_KAB;PASAMAN;1309;9
SUMATERA BARAT;13;KODE_KAB;SOLOK SELATAN;1310;10
SUMATERA BARAT;13;KODE_KAB;DHARMASRAYA;1311;11
SUMATERA BARAT;13;KODE_KAB;PASAMAN BARAT;1312;12
SUMATERA BARAT;13;KODE_KAB;PADANG;1371;71
SUMATERA BARAT;13;KODE_KAB;SOLOK;1372;72
SUMATERA BARAT;13;KODE_KAB;SAWAH LUNTO;1373;73
SUMATERA BARAT;13;KODE_KAB;PADANG PANJANG;1374;74
SUMATERA BARAT;13;KODE_KAB;BUKITTINGGI;1375;75
SUMATERA BARAT;13;KODE_KAB;PAYAKUMBUH;1376;76
SUMATERA BARAT;13;KODE_KAB;PARIAMAN;1377;77
RIAU;14;KODE_KAB;KUANTAN SINGINGI;1401;1
RIAU;14;KODE_KAB;INDRAGIRI HULU;1402;2
RIAU;14;KODE_KAB;INDRAGIRI HILIR;1403;3
RIAU;14;KODE_KAB;PELALAWAN;1404;4
RIAU;14;KODE_KAB;S I A K;1405;5
RIAU;14;KODE_KAB;KAMPAR;1406;6
RIAU;14;KODE_KAB;ROKAN HULU;1407;7
RIAU;14;KODE_KAB;BENGKALIS;1408;8
RIAU;14;KODE_KAB;ROKAN HILIR;1409;9
RIAU;14;KODE_KAB;KEPULAUAN MERANTI;1410;10
RIAU;14;KODE_KAB;PEKANBARU;1471;71
RIAU;14;KODE_KAB;D U M A I;1473;73
JAMBI;15;KODE_KAB;KERINCI;1501;1
JAMBI;15;KODE_KAB;MERANGIN;1502;2
JAMBI;15;KODE_KAB;SAROLANGUN;1503;3
JAMBI;15;KODE_KAB;BATANG HARI;1504;4
JAMBI;15;KODE_KAB;MUARO JAMBI;1505;5
JAMBI;15;KODE_KAB;TANJUNG JABUNG TIMUR;1506;6
JAMBI;15;KODE_KAB;TANJUNG JABUNG BARAT;1507;7
JAMBI;15;KODE_KAB;TEBO;1508;8
JAMBI;15;KODE_KAB;BUNGO;1509;9
JAMBI;15;KODE_KAB;JAMBI;1571;71
JAMBI;15;KODE_KAB;SUNGAI PENUH;1572;72
SUMATERA SELATAN;16;KODE_KAB;OGAN KOMERING ULU;1601;1
SUMATERA SELATAN;16;KODE_KAB;OGAN KOMERING ILIR;1602;2
SUMATERA SELATAN;16;KODE_KAB;MUARA ENIM;1603;3
SUMATERA SELATAN;16;KODE_KAB;LAHAT;1604;4
SUMATERA SELATAN;16;KODE_KAB;MUSI RAWAS;1605;5
SUMATERA SELATAN;16;KODE_KAB;MUSI BANYUASIN;1606;6
SUMATERA SELATAN;16;KODE_KAB;BANYU ASIN;1607;7
SUMATERA SELATAN;16;KODE_KAB;OGAN KOMERING ULU SELATAN;1608;8
SUMATERA SELATAN;16;KODE_KAB;OGAN KOMERING ULU TIMUR;1609;9
SUMATERA SELATAN;16;KODE_KAB;OGAN ILIR;1610;10
SUMATERA SELATAN;16;KODE_KAB;EMPAT LAWANG;1611;11
SUMATERA SELATAN;16;KODE_KAB;PENUKAL ABAB LEMATANG ILIR;1612;12
SUMATERA SELATAN;16;KODE_KAB;MUSI RAWAS UTARA;1613;13
SUMATERA SELATAN;16;KODE_KAB;PALEMBANG;1671;71
SUMATERA SELATAN;16;KODE_KAB;PRABUMULIH;1672;72
SUMATERA SELATAN;16;KODE_KAB;PAGAR ALAM;1673;73
SUMATERA SELATAN;16;KODE_KAB;LUBUKLINGGAU;1674;74
BENGKULU;17;KODE_KAB;BENGKULU SELATAN;1701;1
BENGKULU;17;KODE_KAB;REJANG LEBONG;1702;2
BENGKULU;17;KODE_KAB;BENGKULU UTARA;1703;3
BENGKULU;17;KODE_KAB;KAUR;1704;4
BENGKULU;17;KODE_KAB;SELUMA;1705;5
BENGKULU;17;KODE_KAB;MUKOMUKO;1706;6
BENGKULU;17;KODE_KAB;LEBONG;1707;7
BENGKULU;17;KODE_KAB;KEPAHIANG;1708;8
BENGKULU;17;KODE_KAB;BENGKULU TENGAH;1709;9
BENGKULU;17;KODE_KAB;BENGKULU;1771;71
LAMPUNG;18;KODE_KAB;LAMPUNG BARAT;1801;1
LAMPUNG;18;KODE_KAB;TANGGAMUS;1802;2
LAMPUNG;18;KODE_KAB;LAMPUNG SELATAN;1803;3
LAMPUNG;18;KODE_KAB;LAMPUNG TIMUR;1804;4
LAMPUNG;18;KODE_KAB;LAMPUNG TENGAH;1805;5
LAMPUNG;18;KODE_KAB;LAMPUNG UTARA;1806;6
LAMPUNG;18;KODE_KAB;WAY KANAN;1807;7
LAMPUNG;18;KODE_KAB;TULANGBAWANG;1808;8
LAMPUNG;18;KODE_KAB;PESAWARAN;1809;9
LAMPUNG;18;KODE_KAB;PRINGSEWU;1810;10
LAMPUNG;18;KODE_KAB;MESUJI;1811;11
LAMPUNG;18;KODE_KAB;TULANG BAWANG BARAT;1812;12
LAMPUNG;18;KODE_KAB;PESISIR BARAT;1813;13
LAMPUNG;18;KODE_KAB;BANDAR LAMPUNG;1871;71
LAMPUNG;18;KODE_KAB;METRO;1872;72
KEPULAUAN BANGKA BELITUNG;19;KODE_KAB;BANGKA;1901;1
KEPULAUAN BANGKA BELITUNG;19;KODE_KAB;BELITUNG;1902;2
KEPULAUAN BANGKA BELITUNG;19;KODE_KAB;BANGKA BARAT;1903;3
KEPULAUAN BANGKA BELITUNG;19;KODE_KAB;BANGKA TENGAH;1904;4
KEPULAUAN BANGKA BELITUNG;19;KODE_KAB;BANGKA SELATAN;1905;5
KEPULAUAN BANGKA BELITUNG;19;KODE_KAB;BELITUNG TIMUR;1906;6
KEPULAUAN BANGKA BELITUNG;19;KODE_KAB;PANGKAL PINANG;1971;71
KEPULAUAN RIAU;21;KODE_KAB;KARIMUN;2101;1
KEPULAUAN RIAU;21;KODE_KAB;BINTAN;2102;2
KEPULAUAN RIAU;21;KODE_KAB;NATUNA;2103;3
KEPULAUAN RIAU;21;KODE_KAB;LINGGA;2104;4
KEPULAUAN RIAU;21;KODE_KAB;KEPULAUAN ANAMBAS;2105;5
KEPULAUAN RIAU;21;KODE_KAB;B A T A M;2171;71
KEPULAUAN RIAU;21;KODE_KAB;TANJUNG PINANG;2172;72
DKI JAKARTA;31;KODE_KAB;KEPULAUAN SERIBU;3101;1
DKI JAKARTA;31;KODE_KAB;JAKARTA SELATAN;3171;71
DKI JAKARTA;31;KODE_KAB;JAKARTA TIMUR;3172;72
DKI JAKARTA;31;KODE_KAB;JAKARTA PUSAT;3173;73
DKI JAKARTA;31;KODE_KAB;JAKARTA BARAT;3174;74
DKI JAKARTA;31;KODE_KAB;JAKARTA UTARA;3175;75
JAWA BARAT;32;KODE_KAB;BOGOR;3201;1
JAWA BARAT;32;KODE_KAB;SUKABUMI;3202;2
JAWA BARAT;32;KODE_KAB;CIANJUR;3203;3
JAWA BARAT;32;KODE_KAB;BANDUNG;3204;4
JAWA BARAT;32;KODE_KAB;GARUT;3205;5
JAWA BARAT;32;KODE_KAB;TASIKMALAYA;3206;6
JAWA BARAT;32;KODE_KAB;CIAMIS;3207;7
JAWA BARAT;32;KODE_KAB;KUNINGAN;3208;8
JAWA BARAT;32;KODE_KAB;CIREBON;3209;9
JAWA BARAT;32;KODE_KAB;MAJALENGKA;3210;10
JAWA BARAT;32;KODE_KAB;SUMEDANG;3211;11
JAWA BARAT;32;KODE_KAB;INDRAMAYU;3212;12
JAWA BARAT;32;KODE_KAB;SUBANG;3213;13
JAWA BARAT;32;KODE_KAB;PURWAKARTA;3214;14
JAWA BARAT;32;KODE_KAB;KARAWANG;3215;15
JAWA BARAT;32;KODE_KAB;BEKASI;3216;16
JAWA BARAT;32;KODE_KAB;BANDUNG BARAT;3217;17
JAWA BARAT;32;KODE_KAB;PANGANDARAN;3218;18
JAWA BARAT;32;KODE_KAB;BOGOR;3271;71
JAWA BARAT;32;KODE_KAB;SUKABUMI;3272;72
JAWA BARAT;32;KODE_KAB;BANDUNG;3273;73
JAWA BARAT;32;KODE_KAB;CIREBON;3274;74
JAWA BARAT;32;KODE_KAB;BEKASI;3275;75
JAWA BARAT;32;KODE_KAB;DEPOK;3276;76
JAWA BARAT;32;KODE_KAB;CIMAHI;3277;77
JAWA BARAT;32;KODE_KAB;TASIKMALAYA;3278;78
JAWA BARAT;32;KODE_KAB;BANJAR;3279;79
JAWA TENGAH;33;KODE_KAB;CILACAP;3301;1
JAWA TENGAH;33;KODE_KAB;BANYUMAS;3302;2
JAWA TENGAH;33;KODE_KAB;PURBALINGGA;3303;3
JAWA TENGAH;33;KODE_KAB;BANJARNEGARA;3304;4
JAWA TENGAH;33;KODE_KAB;KEBUMEN;3305;5
JAWA TENGAH;33;KODE_KAB;PURWOREJO;3306;6
JAWA TENGAH;33;KODE_KAB;WONOSOBO;3307;7
JAWA TENGAH;33;KODE_KAB;MAGELANG;3308;8
JAWA TENGAH;33;KODE_KAB;BOYOLALI;3309;9
JAWA TENGAH;33;KODE_KAB;KLATEN;3310;10
JAWA TENGAH;33;KODE_KAB;SUKOHARJO;3311;11
JAWA TENGAH;33;KODE_KAB;WONOGIRI;3312;12
JAWA TENGAH;33;KODE_KAB;KARANGANYAR;3313;13
JAWA TENGAH;33;KODE_KAB;SRAGEN;3314;14
JAWA TENGAH;33;KODE_KAB;GROBOGAN;3315;15
JAWA TENGAH;33;KODE_KAB;BLORA;3316;16
JAWA TENGAH;33;KODE_KAB;REMBANG;3317;17
JAWA TENGAH;33;KODE_KAB;PATI;3318;18
JAWA TENGAH;33;KODE_KAB;KUDUS;3319;19
JAWA TENGAH;33;KODE_KAB;JEPARA;3320;20
JAWA TENGAH;33;KODE_KAB;DEMAK;3321;21
JAWA TENGAH;33;KODE_KAB;SEMARANG;3322;22
JAWA TENGAH;33;KODE_KAB;TEMANGGUNG;3323;23
JAWA TENGAH;33;KODE_KAB;KENDAL;3324;24
JAWA TENGAH;33;KODE_KAB;BATANG;3325;25
JAWA TENGAH;33;KODE_KAB;PEKALONGAN;3326;26
JAWA TENGAH;33;KODE_KAB;PEMALANG;3327;27
JAWA TENGAH;33;KODE_KAB;TEGAL;3328;28
JAWA TENGAH;33;KODE_KAB;BREBES;3329;29
JAWA TENGAH;33;KODE_KAB;MAGELANG;3371;71
JAWA TENGAH;33;KODE_KAB;SURAKARTA;3372;72
JAWA TENGAH;33;KODE_KAB;SALATIGA;3373;73
JAWA TENGAH;33;KODE_KAB;SEMARANG;3374;74
JAWA TENGAH;33;KODE_KAB;PEKALONGAN;3375;75
JAWA TENGAH;33;KODE_KAB;TEGAL;3376;76
DI YOGYAKARTA;34;KODE_KAB;KULON PROGO;3401;1
DI YOGYAKARTA;34;KODE_KAB;BANTUL;3402;2
DI YOGYAKARTA;34;KODE_KAB;GUNUNG KIDUL;3403;3
DI YOGYAKARTA;34;KODE_KAB;SLEMAN;3404;4
DI YOGYAKARTA;34;KODE_KAB;YOGYAKARTA;3471;71
JAWA TIMUR;35;KODE_KAB;PACITAN;3501;1
JAWA TIMUR;35;KODE_KAB;PONOROGO;3502;2
JAWA TIMUR;35;KODE_KAB;TRENGGALEK;3503;3
JAWA TIMUR;35;KODE_KAB;TULUNGAGUNG;3504;4
JAWA TIMUR;35;KODE_KAB;BLITAR;3505;5
JAWA TIMUR;35;KODE_KAB;KEDIRI;3506;6
JAWA TIMUR;35;KODE_KAB;MALANG;3507;7
JAWA TIMUR;35;KODE_KAB;LUMAJANG;3508;8
JAWA TIMUR;35;KODE_KAB;JEMBER;3509;9
JAWA TIMUR;35;KODE_KAB;BANYUWANGI;3510;10
JAWA TIMUR;35;KODE_KAB;BONDOWOSO;3511;11
JAWA TIMUR;35;KODE_KAB;SITUBONDO;3512;12
JAWA TIMUR;35;KODE_KAB;PROBOLINGGO;3513;13
JAWA TIMUR;35;KODE_KAB;PASURUAN;3514;14
JAWA TIMUR;35;KODE_KAB;SIDOARJO;3515;15
JAWA TIMUR;35;KODE_KAB;MOJOKERTO;3516;16
JAWA TIMUR;35;KODE_KAB;JOMBANG;3517;17
JAWA TIMUR;35;KODE_KAB;NGANJUK;3518;18
JAWA TIMUR;35;KODE_KAB;MADIUN;3519;19
JAWA TIMUR;35;KODE_KAB;MAGETAN;3520;20
JAWA TIMUR;35;KODE_KAB;NGAWI;3521;21
JAWA TIMUR;35;KODE_KAB;BOJONEGORO;3522;22
JAWA TIMUR;35;KODE_KAB;TUBAN;3523;23
JAWA TIMUR;35;KODE_KAB;LAMONGAN;3524;24
JAWA TIMUR;35;KODE_KAB;GRESIK;3525;25
JAWA TIMUR;35;KODE_KAB;BANGKALAN;3526;26
JAWA TIMUR;35;KODE_KAB;SAMPANG;3527;27
JAWA TIMUR;35;KODE_KAB;PAMEKASAN;3528;28
JAWA TIMUR;35;KODE_KAB;SUMENEP;3529;29
JAWA TIMUR;35;KODE_KAB;KEDIRI;3571;71
JAWA TIMUR;35;KODE_KAB;BLITAR;3572;72
JAWA TIMUR;35;KODE_KAB;MALANG;3573;73
JAWA TIMUR;35;KODE_KAB;PROBOLINGGO;3574;74
JAWA TIMUR;35;KODE_KAB;PASURUAN;3575;75
JAWA TIMUR;35;KODE_KAB;MOJOKERTO;3576;76
JAWA TIMUR;35;KODE_KAB;MADIUN;3577;77
JAWA TIMUR;35;KODE_KAB;SURABAYA;3578;78
